1,El0000003,El0000003,Склад в Новосибирске,1
2,000000004,000000004,Магазин в Санкт-Петербурге,2
3,000000007,000000007,Магазин в Краснодаре,3
4,000000010,000000010,Шоу-рум в Москве,4
