1,1,Пн/, Вт/, Ср/, Чт/, Пт,17:00,0.0
2,2,Пн/, Вт/, Ср/, Чт/, Пт,17:00,0.0
3,3,Пн/, Вт/, Ср/, Чт/, Пт,17:00,0.0
4,4,Пн/, Вт/, Ср/, Чт/, Пт,17:00,0.0
